一级分类,品名,最低价,最高价,平均价,产地,单位,发布日期
蔬菜,油豆,5.3,6.0,5.65,云鲁闽,斤,2022-12-31
蔬菜,玉米,3.8,4.0,3.9,海云,斤,2022-12-31
蔬菜,苦瓜,7.0,7.5,7.25,冀鲁,斤,2022-12-31
蔬菜,丝瓜,5.0,5.5,5.25,冀鲁,斤,2022-12-31
蔬菜,西葫芦,2.3,2.7,2.5,鲁云,斤,2022-12-31
蔬菜,贝贝南瓜,2.5,3.0,2.75,琼,斤,2022-12-31
蔬菜,金丝南瓜,1.2,1.5,1.35,鲁琼,斤,2022-12-31
蔬菜,板栗南瓜,3.0,3.5,3.25,新琼,斤,2022-12-31
蔬菜,南北瓜,1.6,1.9,1.75,冀云苏海,斤,2022-12-31
蔬菜,尖椒,1.4,3.0,2.2,冀辽鲁粤,斤,2022-12-31
蔬菜,红尖椒,3.0,4.0,3.5,鲁冀,斤,2022-12-31
蔬菜,美人椒,3.5,4.0,3.75,鲁云,斤,2022-12-31
蔬菜,螺丝椒,1.5,3.0,2.25,鲁冀,斤,2022-12-31
蔬菜,柿子椒,1.5,3.3,2.4,鲁冀辽,斤,2022-12-31
蔬菜,线椒,1.5,2.0,1.75,鲁冀,斤,2022-12-31
蔬菜,杭椒,1.5,2.0,1.75,鲁冀辽,斤,2022-12-31
蔬菜,小米椒,3.0,4.0,3.5,云,斤,2022-12-31
蔬菜,彩椒,3.5,4.0,3.75,鲁冀,斤,2022-12-31
蔬菜,白萝卜,0.4,0.5,0.45,冀川鄂,斤,2022-12-31
蔬菜,心里美,0.7,0.8,0.75,冀,斤,2022-12-31
蔬菜,大白菜,0.25,0.55,0.4,冀鲁,斤,2022-12-31
蔬菜,娃娃菜,0.7,0.8,0.75,冀豫,斤,2022-12-31
蔬菜,小白菜,1.2,1.5,1.35,冀,斤,2022-12-31
蔬菜,圆白菜,0.25,1.4,0.83,鄂冀鲁,斤,2022-12-31
蔬菜,紫甘蓝,1.0,1.2,1.1,冀宁,斤,2022-12-31
蔬菜,芹菜,0.6,0.7,0.65,鲁,斤,2022-12-31
蔬菜,西芹,1.2,1.6,1.4,辽冀,斤,2022-12-31
