品名,平均价
丝瓜,5.25
丰水梨,4.75
久红瑞,2.75
乌鸡蛋,8.82
五花头,11.5
五花肉,14.12
京白梨,3.0
仔鸡,8.15
克伦生,8.0
公梭子蟹,85.0
公河蟹,38.0
冬枣,4.0
冬瓜,0.52
凤梨,1.9
凯特,9.0
前肘,13.12
前臀尖,10.75
北豆腐,1.9
南北瓜,1.75
南果梨,4.12
南美、菲律宾香蕉,4.25
南豆腐,1.7
博阳,5.75
卞萝卜,0.55
去骨羊前腿,31.0
去骨羊后腿,32.0
口蘑,7.25
台农,9.5
后肘（去骨）,12.12
后肘（带骨）,8.88
后臀尖,10.75
嘎鱼,19.0
团生菜,3.82
国产香蕉,3.4
国光,3.2
圆白菜,0.83
土豆,1.4
圣女果,4.5
基围虾,225.0
墨鱼,23.5
多宝鱼,25.5
大白菜,0.4
大葱,1.5
大蒜,3.0
奶白菜,3.6
姑娘果（灯笼果）,10.0
姜,5.25
娃娃菜,0.75
富士,3.7
寒富苹果,2.75
小叶桔,2.9
小白菜,1.63
小米椒,3.5
小红扇贝,4.0
小葱,3.75
小里脊,16.25
小黄瓜,5.0
小黄花鱼,7.0
尖椒,2.0
山楂,4.5
山药,5.22
巨峰,4.0
帝王蟹,220.0
带子,17.0
带鱼,14.33
平菇,2.5
平鱼,22.75
广茄,3.42
库尔勒香梨,6.5
彩椒,3.75
心里美,0.75
快菜,2.75
扁豆,5.9
扇贝,32.5
护心肉,15.5
散叶生菜,2.65
散生菜,2.25
散菜花,2.78
散鸡蛋,4.95
整牛,33.0
整羊,23.0
文蛤,13.0
无籽小号-大号,1.85
晓蜜25号,2.65
木瓜,4.9
木耳菜,5.0
杏鲍菇,2.75
杭椒,1.75
松花蛋,8.9
松花鱼,12.0
板栗,3.65
板栗南瓜,3.25
架豆,7.75
柠檬,7.5
柴鸡蛋,6.3
柿子椒,2.4
柿饼,7.5
桂鱼,31.5
梅花肉,14.75
梅花骨,12.75
棒骨,11.0
樱桃萝卜,1.75
武昌鱼,10.5
母梭子蟹,115.0
母河蟹,47.5
毛冬瓜,0.75
毛钳,7.0
水仙芒,10.5
水萝卜,2.25
沃柑,6.0
沙糖桔,5.25
油栗,8.5
油菜,3.17
油豆,5.65
油麦菜,3.8
波士顿龙虾,120.0
泥鳅,14.5
泰国香蕉,15.0
海虹,6.5
海蜇丝,6.5
海蜇头,9.75
海蜇皮,11.5
海螺,26.5
海鲈鱼,14.5
淘汰鸡,10.88
淡水鲈鱼,15.5
清江鱼,12.5
火龙果,5.38
熟鸭蛋,9.25
燕鲅,20.0
爱媛,6.5
牛上脑,34.0
牛前腱,39.0
牛前腿,33.5
牛后腱,38.5
牛后腿,33.5
牛宝,18.0
牛尾,35.0
牛尾巴鱼,13.0
牛心,10.0
牛心管,58.0
牛排骨,30.0
牛板筋,35.0
牛林,33.25
牛柳,36.75
牛油,5.0
牛百叶,44.0
牛筋头巴脑,32.0
牛肚,19.0
牛腩,34.0
牛腰子,10.0
牛腰窝,35.5
牛舌,44.0
牛蛙,11.5
牛蹄筋,27.5
牛金钱腱,60.0
牛鞭,60.0
牛骨,4.0
特小凤,3.75
猕猴桃,4.43
猪口条,18.0
猪头,10.88
猪尾巴,49.0
猪心,9.0
猪板油,7.75
猪皮,4.0
猪耳,28.75
猪肚,26.0
猪肝,6.0
猪肠,18.75
猪肠头,20.0
猪肺,3.0
